date,state,positive,negative,pending,hospitalized,death,total,dateChecked
20200310,MD,6,89,,,,95,2020-03-10T20:00:00Z
20200310,ME,0,20,5,,,25,2020-03-10T20:00:00Z
20200310,MI,0,39,24,,,63,2020-03-10T20:00:00Z
20200310,MN,3,132,,,,135,2020-03-10T20:00:00Z
20200310,MO,1,,,,,1,2020-03-10T20:00:00Z
20200310,MS,0,,,,,0,2020-03-10T20:00:00Z
20200310,MT,0,15,,,,15,2020-03-10T20:00:00Z
20200310,NC,7,,,,,7,2020-03-10T20:00:00Z
20200310,ND,0,6,2,,,8,2020-03-10T20:00:00Z
20200310,NE,3,47,16,,,66,2020-03-10T20:00:00Z
20200310,NH,4,38,5,,,47,2020-03-10T20:00:00Z
20200310,NJ,15,44,20,,,79,2020-03-10T20:00:00Z
20200310,NM,0,69,,,,69,2020-03-10T20:00:00Z
20200310,NV,0,14,,,,14,2020-03-10T20:00:00Z
20200310,NY,173,92,,,,265,2020-03-10T20:00:00Z
20200310,OH,3,14,15,,,32,2020-03-10T20:00:00Z
20200310,OK,2,15,11,,,28,2020-03-10T20:00:00Z
20200310,OR,15,213,67,,,295,2020-03-10T20:00:00Z
20200310,PA,12,,,,,12,2020-03-10T20:00:00Z
20200310,RI,3,53,6,,,62,2020-03-10T20:00:00Z
20200310,SC,7,24,,,,31,2020-03-10T20:00:00Z
20200310,SD,0,11,0,,,11,2020-03-10T20:00:00Z
20200310,TN,7,,,,,7,2020-03-10T20:00:00Z
20200310,TX,13,,,,,13,2020-03-10T20:00:00Z
20200310,UT,2,,,,,2,2020-03-10T20:00:00Z
20200310,VA,8,53,,,,61,2020-03-10T20:00:00Z
20200310,VT,1,40,,,,41,2020-03-10T20:00:00Z
20200310,WA,162,1110,,,,1272,2020-03-10T20:00:00Z
20200310,WI,2,36,,,,38,2020-03-10T20:00:00Z
20200310,WV,0,2,3,,,5,2020-03-10T20:00:00Z
20200310,WY,0,0,0,,,0,2020-03-10T20:00:00Z
20200309,AK,0,23,9,,,32,2020-03-09T20:00:00Z
20200309,AL,0,,,,,0,2020-03-09T20:00:00Z
20200309,AR,0,12,0,,,12,2020-03-09T20:00:00Z
20200309,AZ,5,44,7,,,56,2020-03-09T20:00:00Z
20200309,CA,114,690,,,,804,2020-03-09T20:00:00Z
20200309,CO,9,133,,,,142,2020-03-09T20:00:00Z
20200309,CT,1,46,,,,47,2020-03-09T20:00:00Z
20200309,DC,1,14,3,,,18,2020-03-09T20:00:00Z
20200309,DE,0,15,3,,,18,2020-03-09T20:00:00Z
20200309,FL,18,140,115,,,273,2020-03-09T20:00:00Z
20200309,GA,12,,,,,12,2020-03-09T20:00:00Z
20200309,HI,2,,,,,2,2020-03-09T20:00:00Z
20200309,IA,3,26,8,,,37,2020-03-09T20:00:00Z
20200309,ID,0,41,,,,41,2020-03-09T20:00:00Z
20200309,IL,7,191,44,,,242,2020-03-09T20:00:00Z
20200309,IN,2,,,,,2,2020-03-09T20:00:00Z
20200309,KS,1,11,0,,,12,2020-03-09T20:00:00Z
20200309,KY,4,17,,,,21,2020-03-09T20:00:00Z
20200309,LA,1,5,,,,6,2020-03-09T20:00:00Z
20200309,MA,41,,,,,41,2020-03-09T20:00:00Z
20200309,MD,5,73,,,,78,2020-03-09T20:00:00Z
20200309,ME,0,1,,,,1,2020-03-09T20:00:00Z
20200309,MI,0,36,11,,,47,2020-03-09T20:00:00Z
20200309,MN,2,80,,,,82,2020-03-09T20:00:00Z
20200309,MO,1,,,,,1,2020-03-09T20:00:00Z
20200309,MS,0,,,,,0,2020-03-09T20:00:00Z
20200309,MT,0,11,0,,,11,2020-03-09T20:00:00Z
20200309,NC,2,,,,,2,2020-03-09T20:00:00Z
20200309,ND,0,0,,,,0,2020-03-09T20:00:00Z
20200309,NE,3,36,9,,,48,2020-03-09T20:00:00Z
20200309,NH,4,38,5,,,47,2020-03-09T20:00:00Z
20200309,NJ,11,35,14,,,60,2020-03-09T20:00:00Z
20200309,NM,0,57,0,,,57,2020-03-09T20:00:00Z
20200309,NV,1,14,,,,15,2020-03-09T20:00:00Z
20200309,NY,142,92,,,,234,2020-03-09T20:00:00Z
20200309,OH,3,11,5,,,19,2020-03-09T20:00:00Z
20200309,OK,1,8,10,,,19,2020-03-09T20:00:00Z
20200309,OR,14,165,52,,,231,2020-03-09T20:00:00Z
20200309,PA,7,,,,,7,2020-03-09T20:00:00Z
20200309,RI,3,53,6,,,62,2020-03-09T20:00:00Z
20200309,SC,7,24,,,,31,2020-03-09T20:00:00Z
20200309,SD,0,5,0,,,5,2020-03-09T20:00:00Z
20200309,TN,3,,,,,3,2020-03-09T20:00:00Z
20200309,TX,12,,,,,12,2020-03-09T20:00:00Z
20200309,UT,1,,,,,1,2020-03-09T20:00:00Z
20200309,VA,3,38,9,,,50,2020-03-09T20:00:00Z
20200309,VT,1,34,,,,35,2020-03-09T20:00:00Z
20200309,WA,136,1110,,,,1246,2020-03-09T20:00:00Z
20200309,WI,1,36,,,,37,2020-03-09T20:00:00Z
20200309,WV,0,2,3,,,5,2020-03-09T20:00:00Z
20200309,WY,0,,,,,0,2020-03-09T20:00:00Z
20200308,NY,105,92,,,,197,2020-03-08T20:00:00Z
20200308,WA,102,640,60,,,802,2020-03-08T20:00:00Z
20200308,CA,88,462,,,,550,2020-03-08T20:00:00Z
20200308,FL,17,118,108,,,243,2020-03-08T20:00:00Z
20200308,OR,14,100,53,,,167,2020-03-08T20:00:00Z
20200308,MA,13,,,,,13,2020-03-08T20:00:00Z
20200308,CO,8,104,,,,112,2020-03-08T20:00:00Z
20200308,TX,8,,,,,8,2020-03-08T20:00:00Z
20200308,GA,7,,,,,7,2020-03-08T20:00:00Z
20200308,IL,6,191,44,,,241,2020-03-08T20:00:00Z
20200308,NJ,6,31,0,,,37,2020-03-08T20:00:00Z
20200308,AZ,5,44,7,,,56,2020-03-08T20:00:00Z
20200308,NH,4,38,5,,,47,2020-03-08T20:00:00Z
20200308,PA,4,,,,,4,2020-03-08T20:00:00Z
20200308,MD,3,52,,,,55,2020-03-08T20:00:00Z
20200308,RI,3,30,12,,,45,2020-03-08T20:00:00Z
20200308,TN,3,,,,,3,2020-03-08T20:00:00Z
20200308,VA,2,36,6,,,44,2020-03-08T20:00:00Z
20200308,SC,2,8,,,,10,2020-03-08T20:00:00Z
